,inst,adjBidPx,adjBidStatus,adjBidTime,adjMidPx,adjMidVW,adjMidStatus,adjMidTime,adjAskPx,adjAskStatus,adjAskTime,adjLastPx,adjLastStatus,adjLastTime,LastBestBidPx,LastBestBidSz,LastBestBidTime,LastBestAskPx,LastBestAskSz,LastBestAskTime,EventTime,BidPx,BidPrice,BidSz,AskPx,AskPrice,AskSz,TimeInForce,QuoteTime,TradePx,TradePrice,TradeSz,TradeTime,insertTime,Status,Source,refYield,quoteType,contractId,settlementDate,ClosePx,CloseTime,EventType,Price,Size,Time,RealBidPx,RealBidSz,RealBidSc,BidLastRefreshTime,RealAskPx,RealAskSz,RealAskSc,AskLastRefreshTime,LastFuncCallTime,ZSpread,ValidToTime,LastThresholdUseTime,check,diff,diffNum,date
143,160208.IB,2.9999568856015597,real/choice,43340.6248726852,2.9999568856015597,2.9999568856015597,real/choice,43340.6248726852,2.9999568856015597,real/choice,43340.6248726852,2.9999568856015597,estimated,43340.6248726852,2.9999568856015597,30000000.0,8/28/2018 2:59:49 PM,2.9999568856015597,110000000.0,43340.6248726852,43340.6248726852,2.99995688560156,99.8394,30000000.0,2.99995688560156,99.8394,110000000.0,60,43340.6248726852,-,-,0,-,43340.6248869444,real/choice,cfets,-,PRICE,160208.IB_PKBond,8/29/2018 12:00:00 AM,-,-,-,-,-,-,-,-,-,8/28/2018 2:59:49 PM,-,-,-,8/28/2018 2:59:49 PM,-,-,-,-,False,0.6248726851990796,0.6248726851990796,43340
372,160208.IB,3.0498515124513705,indic/old,43339.6163194444,2.9825,2.9800027939487403,Wide,43339.6157834606,2.98,indic/old,43339.6297646528,2.98,real,43339.6094705671,3.08004060745723,50000000.0,8/27/2018 2:58:17 PM,2.98,5000.0,43339.6297646528,43339.637903125,-,-,0.1,-,-,0.1,60,43339.637903125,-,-,0,-,43339.637903587995,"Ignored/ask,bid,",cfets,-,PRICE,160208.IB_PKBond,8/28/2018 12:00:00 AM,-,-,-,-,-,-,-,-,-,8/27/2018 3:18:34 PM,-,-,-,8/27/2018 3:18:34 PM,-,-,-,-,False,0.6157834605983226,0.6157834605983226,43339
489,160208.IB,3.0024743310472704,indic/old,43336.6232599537,2.9999743310472704,3.00247433102227,average,43336.623814467595,2.9974743310472705,indic/old,43336.6233391204,2.9974743310472705,estimated,43336.6232599537,2.99649988997694,270000000.0,8/24/2018 2:53:55 PM,2.99649988997694,200000000.0,43336.623814467595,43336.6238148148,-,-,0.1,-,-,0.1,60,43336.6238148148,-,-,0,-,43336.623816886604,"Ignored/ask,bid,",cfets,-,PRICE,160208.IB_PKBond,8/27/2018 12:00:00 AM,-,-,-,-,-,-,-,-,-,8/24/2018 2:58:17 PM,-,-,-,8/24/2018 2:58:17 PM,-,-,-,-,False,0.6238144675953663,0.6238144675953663,43336
620,160208.IB,3.0,indic/old,43335.632322222205,2.98375,2.975,Wide,43335.6243203241,2.95,indic/old,43335.6294606366,2.97,real,43335.6243203241,3.07200466888638,300000000.0,8/23/2018 3:10:12 PM,2.95,5000.0,43335.6294606366,43335.632322222205,-,-,0.1,-,-,0.1,60,43335.6323222222,-,-,0,-,43335.632326713,"Ignored/ask,bid,",cfets,-,PRICE,160208.IB_PKBond,8/24/2018 12:00:00 AM,-,-,-,-,-,-,-,-,-,8/23/2018 3:10:32 PM,-,-,-,8/23/2018 3:10:32 PM,-,-,-,-,False,0.6243203241028823,0.6243203241028823,43335
860,160208.IB,3.1499160302468403,real/inverted,43333.6249884259,3.1499580151234197,3.14999999580172,Tight,43333.6249884259,3.15,real/inverted,43333.6249884259,3.15,estimated,43333.6249884259,3.16,5000.0,8/21/2018 2:59:59 PM,3.15,5000.0,43333.6249884259,43333.6249884259,3.16,-,5000.0,3.15,-,5000.0,60,43333.6249884259,-,-,0,-,43333.6249992824,TwoSide,TPSC-qb,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/21/2018 2:59:59 PM,-,-,-,8/21/2018 2:59:59 PM,-,-,-,-,False,0.6249884259013925,0.6249884259013925,43333
995,160208.IB,3.1,indic/old,43332.4674421296,3.09190853956809,3.0500024998750095,Wide,43332.4372222222,3.05,real,43332.4830902778,3.09440853956809,estimated,43332.4372222222,3.10008581209553,100000000.0,8/20/2018 11:11:10 AM,3.05,5000.0,43332.4830902778,43332.4830902778,-,-,0.1,3.05,-,5000.0,60,43332.4830902778,-,-,0,-,43332.4831021528,AskOnly,TPSC-qb,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/20/2018 11:35:39 AM,-,-,-,8/20/2018 11:35:39 AM,-,-,-,-,False,0.4372222222009441,0.4372222222009441,43332
1168,160208.IB,2.83428254366637,indic/old,43328.6236802083,2.83224510333318,2.83020766302037,average,43328.623680787,2.83020766299999,indic/old,43328.6230547454,2.83428254366637,estimated,43328.6235877315,2.83520766299999,300000000.0,8/16/2018 2:58:06 PM,2.9,10000.0,43328.601963784706,43328.623898148195,-,-,0.1,-,-,0.1,60,43328.6238981482,-,-,0,-,43328.6239045139,"Ignored/ask,bid,",cfets,-,PRICE,160208.IB_PKBond,8/17/2018 12:00:00 AM,-,-,-,-,-,-,-,-,-,8/16/2018 2:58:24 PM,-,-,-,8/16/2018 2:58:24 PM,-,-,-,-,False,0.6236807870009216,0.6236807870009216,43328
20,160215.IB,3.39,real,43341.6329352431,3.3875,3.37666666666667,Wide,43341.6091665046,3.37,indic/old,43340.6662615741,3.39,estimated,43341.6091665046,3.39,10000.0,8/29/2018 3:11:25 PM,3.36,15000.0,43341.6329352431,43341.6329352431,3.39,-,10000.0,3.36,-,15000.0,60,43341.6329352431,-,-,0,-,43341.6329580671,TwoSide,PATR-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 3:11:25 PM,-,-,-,8/29/2018 3:11:25 PM,-,-,-,-,False,0.6091665045969421,0.6091665045969421,43341
404,160215.IB,3.38,real,43335.4670190625,3.3775,3.355,Wide,43335.4025777431,3.35,indic/old,43334.6956726273,3.38,estimated,43335.4025777431,3.38,10000.0,8/23/2018 11:12:30 AM,3.29,5000.0,43335.4670190625,43335.4670190625,3.38,-,10000.0,3.29,-,5000.0,60,43335.4670190625,-,-,0,-,43335.467030625,TwoSide,PATR-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/23/2018 11:12:30 AM,-,-,-,8/23/2018 11:12:30 AM,-,-,-,-,False,0.402577743101574,0.402577743101574,43335
485,160215.IB,3.48345237258395,indic/old,43334.400233796296,3.48185409609765,3.4834523725732898,average,43334.4042497685,3.4802558196113598,indic/old,43334.4042497685,3.4802558196113598,estimated,43334.4042497685,3.4784523725839502,10000000.0,8/22/2018 9:32:40 AM,3.4802558196113598,300000000.0,43334.4042497685,43334.4042875,-,-,0.1,-,-,0.1,60,43334.4042875,-,-,0,-,43334.404291111096,"Ignored/ask,bid,",cfets,-,PRICE,160215.IB_PKBond,8/23/2018 12:00:00 AM,-,-,-,-,-,-,-,-,-,8/22/2018 9:42:10 AM,-,-,-,8/22/2018 9:42:10 AM,-,-,-,-,False,0.40424976850044914,0.40424976850044914,43334
