Date,FR007
42268,2.36
42265,2.4
42264,2.37
42263,2.39
42262,2.37
42261,2.36
42258,2.35
42257,2.43
42256,2.38
42255,2.41
42254,2.4
42253,2.37
42249,2.48
42248,2.4
42247,2.42
42244,2.38
42243,2.33
42242,2.39
42241,2.56
42240,2.53
42237,2.56
42236,2.59
42235,2.52
42234,2.49
42233,2.48
42230,2.48
42229,2.45
42228,2.44
42227,2.4
42226,2.42
42223,2.44
42222,2.3
42221,2.41
42220,2.43
42219,2.45
42216,2.47
42215,2.48
42214,2.46
42213,2.44
42212,2.52
42209,2.53
42208,2.56
42207,2.5
42206,2.45
42205,2.4
42202,2.53
42201,2.5
42200,2.5
42199,2.55
42198,2.58
42195,2.58
42194,2.57
42193,2.61
42192,2.6
42191,2.78
42188,2.9
42187,2.87
42186,2.75
42185,2.56
42184,2.75
42181,3
42180,3.02
42179,2.87
42178,2.86
42174,2.73
42173,2.7
42172,2.41
42171,2.3
42170,2.2402
42167,2.22
42166,2.1
42165,2.12
42164,2.08
42163,2.06
42160,2.06
42159,2.23
42158,2.22
42157,2.25
42156,2.01
42153,2.08
42152,2.03
42151,2
42150,1.97
42149,2.0058
42146,2.01
42145,1.99
42144,1.98
42143,1.91
42142,2
42139,1.92
42138,2
42137,2.09
42136,2.16
42135,2.35
42132,2.37
42131,2.4
42130,2.5
42129,2.52
42128,2.43
42124,2.45
42123,2.51
42122,2.48
42121,2.47
42118,2.6
42117,2.57
42116,2.61
42115,2.64
42114,2.81
42111,2.93
42110,3.03
42109,3
42108,3
42107,2.96
